Country,Users,Total,Average,Retention
IN,6946307,777025337,111.9,43.2
CN,6752297,189959130,28.1,50.4
FI,223519,72861408,326.0,83.7
GB,552784,60331294,109.1,49.7
BR,202117,58217105,288.0,57.8
DE,258500,45206821,174.9,56.3
ID,693333,38038506,54.9,40.8
MX,68178,25887836,379.7,84.9
ZA,155252,17543739,113.0,80.4
AU,142161,15200180,106.9,53.5
SG,50211,12430761,247.6,74.6
RU,182419,7523492,41.2,32.4
IT,229951,7218080,31.4,31.2
CH,34986,5937698,169.7,75.8
SE,48638,4826545,99.2,45.5
TR,81203,4222706,52.0,33.2
ES,94735,3138141,33.1,36.5
AE,58013,2810923,48.5,24.0
CL,10447,2656640,254.3,74.0
NL,47183,2612654,55.4,47.5
AT,19765,2494002,126.2,69.8
FR,153150,1615792,10.6,26.4
MY,5567,821133,147.5,50.6
PL,51308,780930,15.2,37.8
US,38160,726936,19.0,32.1
NO,34094,639335,18.8,43.8
IE,19323,477753,24.7,45.6
PT,27228,312090,11.5,29.1