Xhead,Average,Mode,StDev,Skew,Kurtosis
African Ethnic/Traditional,0.525,1.0,0.01,0.95,0.284
Afrikaans,0.542,1.0,0.01,3.977,27.696
Ambient/New Age,0.505,1.0,0.009,1.697,5.832
Asian,0.448,0.36,0.01,1.144,0.612
Bengali,0.423,0.36,0.01,0.96,-0.223
Bhojpuri,0.406,0.35,0.013,1.328,0.42
Blues,0.522,1.0,0.011,2.785,12.724
Bollywood,0.545,0.5,0.01,0.694,-0.9
Cancion de autor,0.44,1.0,0.031,3.226,10.398
Cantonese Pop,0.617,1.0,0.009,1.667,5.98
Christian/Gospel,0.578,1.0,0.011,5.395,42.001
Christmas,0.507,1.0,0.01,2.029,7.485
Classic Arabic/Tarab,0.465,0.54,0.057,5.541,28.697
Classical,0.582,1.0,0.012,6.487,54.389
Comedy,0.567,1.0,0.011,5.772,46.289
Country and Western,0.524,1.0,0.009,1.742,5.236
Dance,0.555,1.0,0.01,4.926,37.119
Dangdut,0.634,1.0,0.01,3.636,24.565
Deutsch Pop,0.549,1.0,0.013,2.212,6.853
Devotional,0.427,0.38,0.01,0.932,-0.466
Easy Listening/Oldies,0.526,1.0,0.011,4.668,33.138
Electronica,0.519,1.0,0.012,4.948,35.612
Flamenco,0.591,1.0,0.016,5.492,38.939
Folk/Roots,0.539,1.0,0.01,3.42,20.456
French Variations,0.55,1.0,0.018,7.107,60.479
Ghazal,0.476,0.38,0.009,0.566,-0.894
Gujarati,0.438,0.38,0.011,0.978,-0.2
Hindustani Classical,0.511,1.0,0.013,5.872,46.052
Indie/Alternative,0.498,1.0,0.011,2.292,8.402
Indipop and Remix,0.46,0.38,0.01,0.767,-0.424
Instrumental,0.419,0.45,0.032,2.884,6.32
Irish Music,0.53,1.0,0.017,5.702,43.708
Iskelda,0.657,1.0,0.035,3.766,14.635
Islamiyat,0.508,0.48,0.01,1.019,0.651
Italiana,0.617,1.0,0.023,8.565,78.638
Jazz,0.535,1.0,0.011,5.371,40.96
Keroncong,0.525,0.5,0.017,2.77,9.027
Khaleeji,0.504,0.44,0.009,0.653,-0.262
Kids/Novelty,0.536,1.0,0.009,2.602,13.699
Latin Music,0.492,1.0,0.009,1.127,2.133
Malayalam,0.415,0.38,0.013,1.353,0.612
Mandarin Pop,0.73,1.0,0.011,3.336,21.233
Marathi,0.431,0.41,0.012,1.279,0.576
Metal,0.543,1.0,0.01,3.81,25.286
Nederlandstalig,0.603,1.0,0.012,4.87,35.33
Oriental Pop,0.489,0.52,0.01,0.932,-0.391
Pop,0.564,1.0,0.009,1.55,5.603
Punjabi,0.444,0.38,0.01,0.788,-0.691
Rap/Hip Hop,0.539,1.0,0.01,3.822,25.8
Reggae,0.531,1.0,0.012,5.823,46.412
Regional/Others,0.419,0.33,0.011,1.011,-0.288
Rock,0.512,1.0,0.01,3.076,17.932
Schlager,0.596,1.0,0.014,6.304,51.271
Shanson,0.603,1.0,0.012,5.277,40.079
Soul/RnB/Funk,0.514,1.0,0.011,2.714,12.768
Soundtracks/Musicals/Theatre,0.54,1.0,0.013,6.031,48.63
Spoken Word,0.572,1.0,0.014,7.541,66.612
Tamil,0.474,0.38,0.011,0.918,-0.527
Telugu,0.42,0.38,0.013,1.253,0.188
World,0.494,1.0,0.009,1.635,5.235